WAVELENGTH [um]       LUMINOSITY [W/Hz]
       41.971496   2.8799755e+23
       42.543727   2.9829551e+23
       43.123758   3.0853123e+23
       43.711696   3.1881590e+23
       44.307649   3.2951889e+23
       44.911730   3.3980831e+23
       45.524046   3.4916854e+23
       46.144708   3.5969316e+23
       46.773833   3.7003553e+23
       47.411536   3.8005678e+23
       48.057933   3.8987243e+23
       48.713143   4.0045400e+23
       49.377286   4.1021001e+23
       50.050486   4.1702047e+23
       50.732861   4.2516483e+23
       51.424539   4.3556915e+23
       52.125649   4.4713741e+23
       52.836317   4.5867723e+23
       53.556674   4.6889780e+23
       54.286855   4.7788501e+23
       55.026986   4.8682197e+23
       55.777211   4.8774827e+23
       56.537667   4.9505884e+23
       57.308486   5.0352544e+23
       58.089817   5.1327862e+23
       58.881799   5.2231125e+23
       59.684573   5.3032058e+23
       60.498298   5.3491448e+23
       61.323123   5.4174995e+23
       62.159186   5.4760927e+23
       63.006648   5.5460586e+23
       63.865667   5.6201082e+23
       64.736392   5.6903132e+23
       65.618992   5.7480913e+23
       66.513630   5.7984106e+23
       67.420455   5.7672914e+23
       68.339648   5.8101754e+23
       69.271380   5.8561423e+23
       70.215804   5.8191986e+23
       71.173111   5.8927275e+23
       72.143467   5.9522637e+23
       73.127054   5.9920898e+23
       74.124048   6.0110246e+23
       75.134642   5.9753040e+23
       76.159004   5.9759864e+23
       77.197342   5.9976720e+23
       78.249829   6.0064852e+23
       79.316667   5.9787681e+23
       80.398054   5.9493572e+23
       81.494179   6.0072250e+23
       82.605248   6.0644312e+23
       83.731473   6.0642426e+23
       84.873042   6.0142212e+23
       86.030179   5.9789497e+23
       87.203098   5.9601508e+23
       88.392004   5.9399198e+23
       89.597116   5.9184955e+23
       90.818660   5.8961431e+23
       92.056860   5.8731480e+23
       93.311941   5.7901310e+23
       94.584135   5.7208372e+23
       95.873673   5.7126005e+23
       97.180791   5.6936989e+23
       98.505729   5.6566886e+23
       99.848729   5.6115126e+23
       101.21005   5.5596713e+23
       102.58992   5.5020131e+23
       103.98860   5.4407928e+23
       105.40636   5.3763108e+23
       106.84343   5.3064694e+23
       108.30012   5.2338122e+23
       109.77666   5.1555103e+23
       111.27332   5.0865075e+23
       112.79040   5.0301259e+23
       114.32815   4.9802072e+23
       115.88687   4.9228436e+23
       117.46685   4.8522318e+23
       119.06836   4.7922435e+23
       120.69171   4.6685502e+23
       122.33718   4.6070897e+23
       124.00511   4.5758337e+23
       125.69576   4.5428648e+23
       127.40947   4.4188736e+23
       129.14653   4.3642214e+23
       130.90728   4.3906723e+23
       132.69205   4.3612475e+23
       134.50113   4.2939119e+23
       136.33488   4.2056513e+23
       138.19365   4.0935367e+23
       140.07775   4.0448630e+23
       141.98752   3.9636843e+23
       143.92336   3.8928910e+23
       145.88557   3.8075822e+23
       147.87453   3.7149008e+23
       149.89062   3.6225885e+23
       151.93420   3.5447955e+23
       154.00562   3.4640404e+23
       156.10531   3.3806820e+23
       158.23361   3.3011190e+23
       160.39092   3.2322766e+23
       162.57765   3.1688072e+23
       164.79420   3.1430356e+23
       167.04096   3.1080107e+23
       169.31836   3.0361769e+23
       171.62680   2.9672025e+23
       173.96672   2.8998133e+23
       176.33853   2.8511940e+23
       178.74268   2.8051149e+23
       181.17962   2.7553724e+23
       183.64978   2.7043609e+23
       186.15362   2.6486394e+23
       188.69160   2.5456058e+23
       191.26417   2.4443198e+23
       193.87182   2.4264666e+23
       196.51502   2.4055997e+23
       199.19426   2.3536017e+23
       201.91002   2.3043002e+23
       204.66281   2.2429067e+23
       207.45313   2.1746513e+23
       210.28149   2.1052200e+23
       213.14842   2.0407821e+23
       216.05444   1.9880239e+23
       219.00007   1.8540788e+23
       221.98587   1.8373549e+23
       225.01237   1.8285188e+23
       228.08012   1.7979106e+23
       231.18972   1.7495742e+23
       234.34169   1.6973645e+23
       237.53664   1.5771371e+23
       240.77517   1.5661472e+23
       244.05784   1.5590133e+23
       247.38527   1.5172444e+23
       250.75804   1.4315506e+23
       254.17682   1.4010793e+23
       257.64222   1.3772019e+23
       261.15484   1.3243628e+23
       264.71537   1.2718143e+23
       268.32442   1.2364165e+23
       271.98269   1.2113375e+23
       275.69084   1.1866542e+23
       279.44954   1.1421880e+23
       283.25949   1.0936448e+23
       287.12137   1.0616788e+23
       291.03592   1.0382345e+23
       295.00384   1.0166503e+23
       299.02584   9.8082918e+22
       303.10269   9.3596085e+22
       307.23512   9.0129002e+22
       311.42387   8.6572074e+22
       315.66974   8.2897972e+22
       319.97352   7.9394652e+22
       324.33597   7.5946083e+22
       328.75787   7.2966715e+22
       333.24009   6.9910653e+22
       337.78339   6.7212103e+22
       342.38864   6.4435342e+22
       347.05669   6.1867412e+22
       351.78837   5.9014365e+22
       356.58457   5.6486906e+22
       361.44614   5.4588584e+22
       366.37402   5.2318823e+22
       371.36909   5.0180886e+22
       376.43224   4.7742785e+22
       381.56442   4.5382898e+22
       386.76657   4.3511355e+22
       392.03964   4.1355027e+22
       397.38461   3.9878997e+22
       402.80246   3.8140060e+22
       408.29419   3.6480640e+22
       413.86076   3.4958006e+22
       419.50324   3.3365152e+22
       425.22264   3.2025559e+22
       431.02004   3.0485403e+22
       436.89644   2.9082080e+22
       442.85299   2.7827042e+22
       448.89074   2.6601279e+22
       455.01079   2.5417478e+22
       461.21429   2.4198853e+22
       467.50239   2.3087474e+22
       473.87619   2.2167087e+22
       480.33689   2.1207516e+22
       486.88569   2.0153464e+22
       493.52379   1.9224736e+22
       500.25234   1.8343218e+22
       507.07269   1.7539627e+22
       513.98599   1.6733326e+22
       520.99354   1.5983626e+22
       528.09664   1.5247121e+22
       535.29659   1.4524836e+22
       542.59469   1.3853066e+22
       549.99229   1.3223964e+22
       557.49074   1.2605028e+22
       565.09144   1.2040289e+22
       572.79574   1.1480790e+22
       580.60509   1.0923535e+22
       588.52094   1.0406145e+22
       596.54468   9.9594330e+21
       604.67783   9.5164678e+21
       612.92183   9.0346861e+21
       621.27828   8.5818248e+21
       629.74863   8.1424163e+21
       638.33448   7.7974597e+21
       647.03733   7.4259123e+21
       655.85888   7.0801484e+21
       664.80073   6.7429754e+21
       673.86443   6.4231674e+21
       683.05173   6.1281464e+21
       692.36433   5.8279487e+21
       701.80383   5.5598185e+21
       711.37203   5.2718511e+21
       721.07073   5.0064289e+21
       730.90163   4.7862851e+21
       740.86658   4.5715007e+21
       750.96733   4.3515436e+21
       761.20583   4.1262280e+21
       771.58393   3.9215122e+21
       782.10353   3.7332513e+21
       792.76653   3.5663268e+21
       803.57493   3.3905571e+21
       814.53068   3.2269095e+21
       825.63578   3.0589195e+21
       836.89228   2.9033299e+21
       848.30228   2.7738821e+21
       859.86778   2.6453858e+21
       871.59108   2.5174788e+21
       883.47408   2.3841445e+21
       895.51918   2.2622309e+21
       907.72848   2.1566307e+21
       920.10418   2.0586078e+21
       932.64868   1.9564273e+21
       945.36418   1.8581476e+21
       958.25308   1.7617069e+21
       971.31758   1.6714433e+21
       984.56038   1.6003472e+21
       997.98357   1.5291326e+21
       1011.5899   1.4652652e+21
       1025.3816   1.4072519e+21
       1039.3614   1.3397250e+21
       1053.5318   1.2667605e+21
       1067.8954   1.1927859e+21
       1082.4549   1.1226066e+21
       1097.2128   1.0623303e+21
       1112.1719   1.0107927e+21
       1127.3350   9.6151756e+20
       1142.7048   9.1428107e+20
       1158.2841   8.6883944e+20
       1174.0759   8.2492137e+20
       1190.0830   7.8222903e+20
       1206.3083   7.4301840e+20
       1222.7548   7.0671122e+20
       1239.4255   6.7198217e+20
       1256.3235   6.3866249e+20
       1273.4519   6.0656570e+20
       1290.8139   5.7548499e+20
       1308.4125   5.4534526e+20
       1326.2511   5.1862007e+20
       1344.3329   4.9310365e+20
       1362.6612   4.6868103e+20
       1381.2393   4.4522354e+20
       1400.0708   4.2258942e+20
       1419.1590   4.0062351e+20
       1438.5075   3.8005844e+20
       1458.1198   3.6132388e+20
       1477.9994   3.4342869e+20
       1498.1501   3.2628452e+20
       1518.5755   3.0979559e+20
       1539.2794   2.9385461e+20
       1560.2655   2.7834511e+20
       1581.5378   2.6442284e+20
       1603.1001   2.5131510e+20
       1624.9564   2.3878568e+20
       1647.1106   2.2676905e+20
       1669.5669   2.1519224e+20
       1692.3294   2.0397538e+20
       1715.4022   1.9328663e+20
       1738.7896   1.8368983e+20
       1762.4958   1.7453390e+20
       1786.5252   1.6577398e+20
       1810.8824   1.5736073e+20
       1835.5714   1.4923994e+20
       1860.5972   1.4135166e+20
       1885.9640   1.3411943e+20
       1911.6768   1.2742960e+20
       1937.7400   1.2104283e+20
       1964.1588   1.1492520e+20
       1990.9375   1.0904029e+20
       2018.0815   1.0334704e+20
       2045.5955   9.7833691e+19
       2073.4847   9.2947120e+19
       2101.7541   8.8289797e+19
       2130.4089   8.3839426e+19
       2159.4543   7.9570837e+19
       2188.8959   7.5456645e+19
       2218.7387   7.1466538e+19
       2248.9883   6.7736429e+19
       2279.6507   6.4340358e+19
       2310.7307   6.1101522e+19
       2342.2347   5.8003043e+19
       2374.1683   5.5026298e+19
       2406.5371   5.2151013e+19
       2439.3471   4.9354571e+19
       2472.6047   4.6849217e+19
       2506.3155   4.4491543e+19
       2540.4859   4.2241035e+19
       2575.1223   4.0085100e+19
       2610.2309   3.8010079e+19
       2645.8181   3.6000781e+19
       2681.8907   3.4088526e+19
       2718.4547   3.2372112e+19
       2755.5175   3.0736691e+19
       2793.0855   2.9173894e+19
       2831.1659   2.7674391e+19
       2869.7651   2.6228072e+19
       2908.8909   2.4823679e+19
       2948.5499   2.3538125e+19
       2988.7499   2.2349281e+19
       3029.4977   2.1215590e+19
       3070.8011   2.0130794e+19
       3112.6677   1.9088054e+19
       3155.1051   1.8079845e+19
       3198.1209   1.7104655e+19
       3241.7233   1.6240291e+19
       3285.9203   1.5417418e+19
       3330.7195   1.4631869e+19
       3376.1299   1.3879043e+19
       3422.1591   1.3153910e+19
       3468.8159   1.2450905e+19
       3516.1091   1.1794566e+19
       3564.0467   1.1197064e+19
       3612.6383   1.0627741e+19
       3661.8919   1.0083568e+19
       3711.8175   9.5611495e+18
       3762.4231   9.0567547e+18
       3813.7191   8.5663052e+18
       3865.7143   8.1276518e+18
       3918.4187   7.7148082e+18
       3971.8415   7.3210581e+18
       4025.9927   6.9441340e+18
       4080.8819   6.5815389e+18
       4136.5199   6.2305559e+18
       4192.9159   5.8969102e+18
       4250.0811   5.5974131e+18
       4308.0259   5.3122697e+18
       4366.7603   5.0399774e+18
       4426.2959   4.7788816e+18
       4486.6427   4.5271463e+18
       4547.8127   4.2827581e+18
       4609.8163   4.0593626e+18
       4672.6655   3.8527362e+18
       4736.3711   3.6558332e+18
       4800.9459   3.4675369e+18
       4866.4007   3.2866270e+18
       4932.7479   3.1117656e+18
       4999.9999   2.9428012e+18
